15.5,5.405,-2.0416977406
15.6,5.415,-2.0367958546
15.7,5.423,-2.0315926075
15.8,5.431,-2.0268075466
15.9,5.438,-2.0204548836
16,5.446,-2.0143284798
16.1,5.452,-2.0080425739
16.2,5.458,-2.0015182495
16.3,5.464,-1.9954977036
16.4,5.47,-1.989400506
16.5,5.474,-1.9832583666
16.6,5.478,-1.9754621983
16.7,5.482,-1.9680855274
16.8,5.485,-1.9608118534
16.9,5.487,-1.9530988932
17,5.489,-1.9448567629
17.1,5.491,-1.9360501766
17.2,5.492,-1.9255837202
17.3,5.493,-1.9148316383
17.4,5.493,-1.9048310518
17.5,5.492,-1.8946068287
17.6,5.492,-1.8823873997
17.7,5.49,-1.8704500198
17.8,5.489,-1.8573453426
17.9,5.486,-1.8457753658
18,5.484,-1.8338297606
18.1,5.481,-1.8215276003
18.2,5.477,-1.8105037212
18.3,5.473,-1.7996938229
18.4,5.469,-1.7881588936
18.5,5.463,-1.7792266607
18.6,5.458,-1.7706975937
18.7,5.452,-1.7604078054
18.8,5.445,-1.7486866713
18.9,5.439,-1.7375696898
19,5.431,-1.726885438
19.1,5.423,-1.7153235674
19.2,5.414,-1.7032754421
19.3,5.404,-1.6917927265
19.4,5.394,-1.6802803278
19.5,5.384,-1.6695802212
19.6,5.373,-1.6573370695
19.7,5.361,-1.6460945606
19.8,5.348,-1.63502419
19.9,5.334,-1.6242183447
20,5.32,-1.6132270098
20.1,5.305,-1.6021386385
20.2,5.29,-1.5904877186
20.3,5.275,-1.5788736343
20.4,5.258,-1.5665988922
20.5,5.242,-1.5557019711
20.6,5.225,-1.5433405638
20.7,5.207,-1.5301151276
20.8,5.189,-1.517926693
20.9,5.169,-1.502127409
21,5.147,-1.4879670143
21.1,5.126,-1.4741292
21.2,5.104,-1.464137435
21.3,5.081,-1.4532066584
21.4,5.058,-1.4424628019
21.5,5.035,-1.4279745817
21.6,5.012,-1.4168338776
21.7,4.989,-1.4064506292
21.8,4.965,-1.3970397711
21.9,4.941,-1.3882198334
22,4.917,-1.3780653477
22.1,4.892,-1.3687403202
22.2,4.868,-1.3578383923
22.3,4.842,-1.3496875763
22.4,4.816,-1.3403291702
22.5,4.789,-1.3324606419
22.6,4.762,-1.3240396977
22.7,4.734,-1.3127619028
22.8,4.706,-1.2996133566
22.9,4.676,-1.286823988
23,4.645,-1.2744041681
23.1,4.612,-1.262370944
23.2,4.579,-1.2569531202
23.3,4.546,-1.2493628264
23.4,4.513,-1.2442107201
23.5,4.48,-1.236143589
23.6,4.44,-1.2279086113
23.7,4.412,-1.2192331553
23.8,4.376,-1.2100875378
23.9,4.342,-1.2006126642
24,4.306,-1.1913183928
24.1,4.271,-1.1810760498
24.2,4.237,-1.1685220003
24.3,4.205,-1.152402997
24.4,4.176,-1.1019250155
24.5,4.147,-1.0800805092
24.6,4.119,-1.0607711077
24.7,4.091,-1.0414017439
24.8,4.062,-1.0346472263
24.9,4.033,-1.0249121189
25,4.003,-1.012897253
25.1,3.973,-0.9988572001
25.2,3.942,-0.9830771089
25.3,3.912,-0.966158092
25.4,3.88,-0.9505606294
25.5,3.848,-0.9357611537
25.6,3.816,-0.919115603
25.7,3.785,-0.9038590789
25.8,3.753,-0.890609026
25.9,3.721,-0.8792753816
26,3.689,-0.8665175438
26.1,3.657,-0.8594334722
26.2,3.624,-0.8497322798
26.3,3.591,-0.8401943445
26.4,3.557,-0.8292105198
26.5,3.524,-0.8216180205
26.6,3.489,-0.8156270981
26.7,3.454,-0.8049017787
26.8,3.42,-0.7935609818
26.9,3.387,-0.7741674781
27,3.354,-0.7551041842
27.1,3.321,-0.7411485314
27.2,3.287,-0.7306911349
27.3,3.253,-0.7207366228
27.4,3.219,-0.7114354372
27.5,3.185,-0.7002333403
27.6,3.152,-0.6916226745
27.7,3.12,-0.6819199324
27.8,3.088,-0.6712567806
27.9,3.058,-0.6598746181
