,err_angle,err_dist,err_predict
78,0.3892283606,0.002257533,0.0040296475
79,0.3865552205,0.0020646629,0.0040443104
80,0.3847129394,0.0022667144,0.0042426744
81,0.0169911123,0.0185168533,0.0160273381
82,0.1992198099,0,0.0189267348
83,0.0820967742,0.0044489567,0.0044489567
84,0.3093293931,0.0016190746,0.0040123416
85,0.311104639,0.001563192,0.0027269509
86,0.3079586155,0.0018420723,0.0030102357
87,0.3137167133,0.0017058011,0.0029877761
88,0.3144440476,0.0018637987,0.00316392
89,0.1676375982,0.0091870814,0.0083866844
90,0.2004079969,0,0.0143847483
91,0.1799043382,0.0024787179,0.0024787179
92,0.5871771519,0.0012950433,0.0030666582
93,0.5578240038,0.0011998026,0.0022801269
94,0.4940991659,0.0012318032,0.0023901907
95,0.5372568279,0.0013500911,0.0025939167
96,0.10774726,0.0099983438,0.0090655559
97,0.2007301085,0,0.0114324332
98,0.3983605304,0.0024852899,0.0024852899
99,0.5959529896,0.0015972563,0.004286114
100,0.604199394,0.0018331302,0.0033486378
101,0.6070076239,0.0017985009,0.0034010019
102,0.5827054766,0.0018725552,0.0034930278
103,0.17601715,0.0075995704,0.0069516928
104,0.2004321675,0,0.0108200124
105,0.3359016339,0.003443042,0.003443042
106,0.4839802408,0.0020001031,0.0055364591
107,0.4783731495,0.0020044472,0.0039945537
108,0.4960697564,0.00218515,0.0041832501
109,0.4718960789,0.0020114459,0.0041290004
110,0.018240301,0.0133204528,0.0112955045
111,0.2006504007,0,0.0132926574
112,0.3472758148,0.0013779607,0.0013779607
113,0.2927019209,0.0009964075,0.0020225817
114,0.6632124841,0.0006452689,0.0012152976
115,0.2962059057,0.0010640155,0.0015782557
116,0.5563145019,0.0004225882,0.0012361032
117,0.0189976035,0.0110381658,0.0101155414
118,0.201388618,0,0.0120691013
119,0.4493066616,0.0045201427,0.0045201427
120,0.2908761249,0.0024153398,0.0047860984
121,0.2907385214,0.0025791656,0.0039082543
122,0.6899354612,0.0021794882,0.0037504061
123,0.7004609873,0.0024612672,0.0041282179
124,0.3229521916,0.0091977581,0.0105169673
125,0.1995506626,0,0.0170046713
126,0.4465478328,0.0047836578,0.0047836578
127,0.6097881335,0.0021303114,0.0051810822
128,0.5586507987,0.0018822827,0.0036492001
129,0.5866831002,0.0021522488,0.0039459091
130,0.5621651485,0.0023463786,0.0042214581
131,0.0873927439,0.0106535601,0.008915475
132,0.5697372776,0.0005972237,0.0114000184
133,0.5912720651,0.0029165725,0.003396783
134,0.5485069642,0.0026863307,0.0052861705
135,0.5548051785,0.0028889547,0.0054848755
136,0.5290050233,0.0025372093,0.0052841248
