,err_angle,err_dist,err_predict,grad,y
2760,0.0852907105139,0.00154365504697,0.00389317336905,0.00525052737065,0
2761,0.0852710336248,0.00183344421914,0.00432249036021,0.00623620482699,0
2762,0.0847895984225,0.000789209612667,0.00395846122303,0.00268438643764,0
2763,0.084448927925,0.000525501826198,0.00581187784599,0.00178742117754,0
2764,0.0839320461775,0.0002630339711,0.00368997558724,0.000894673371088,0
2765,0.119325764446,0.00314899777027,0.00314899777027,0.0107108767696,0
2766,0.085665884319,0.00211169616366,0.00454126697069,0.00718264001246,0
2767,0.0937167820074,0.00441088287531,0.00290249706972,0.0150030029773,0
2768,0.0936499550577,0.0181983920607,0.0138558233332,0.0618992927233,0
2769,0.0508090620538,0.00063534986574,0.0597252699345,0.0021610539651,0
